id,character_id,team_1,team_2,team_3,team_4,team_5,team_6,team_7,team_8,team_9,team_10,team_11
1,1344,Team Kakashi,Sasuke Recovery Team,Konoha 11  (Anime only),Bikōchū Search Team  (Anime only),Kaima Capture Team  (Anime only),Star Guard Team  (Anime only),Peddlers Escort Team  (Anime only),Kazekage Rescue Team,Team One  (Anime only),Eight Man Squad,Hanabi Rescue Team  (Movie only)
2,1307,Team Kakashi,Sound Four,Taka,,,,,,,,
3,1299,N/A,,,,,,,,,,
4,376,Team Minato,Team Ro  (Anime only),Team Kakashi,Kazekage Rescue Team,Team Asuma  (Temporarily),Team One  (Anime only),Team 8  (Temporarily),Eight Man Squad,Third Division,,
5,928,Team Hiruzen,Team Orochimaru,Team Dosu,,,,,,,,
6,1303,Team Minato,,,,,,,,,,
7,259,Three Sand Siblings,Fourth Division,,,,,,,,,
8,1359,Team Kabuto,,,,,,,,,,
9,515,Team Hiruzen,Ame Orphans,Team Jiraiya,,,,,,,,
10,1373,Team Ro  (Anime only),Team Kakashi,Eight Man Squad,Team Two  (Anime only),Infiltration and Reconnaissance Party,,,,,,
11,344,Team Chōza,Team Guy,Third Division,,,,,,,,
12,1037,Team Ebisu,Team 7,,,,,,,,,
13,813,Team 7,,,,,,,,,,
14,865,Team Jiraiya,Team Minato,,,,,,,,,
15,1339,Team 7,,,,,,,,,,
16,1293,Team 2  (Anime and Novel only),Team Ro  (Anime only),,,,,,,,,
17,1063,N/A,,,,,,,,,,
18,1280,Team Hiruzen,,,,,,,,,,
19,739,Team Guy,Konoha 11  (Anime only),Star Guard Team  (Anime only),Team Two  (Anime only),Third Division,Suicide Corps  (Movie only),,,,,
20,600,N/A,,,,,,,,,,
21,935,N/A,,,,,,,,,,
22,1306,Team 7,,,,,,,,,,
23,374,Team Kakashi,Konoha 11  (Anime only),Team Asuma  (Anime only),Kazekage Rescue Team,Eight Man Squad,Team Three  (Anime only),Third Division,Hanabi Rescue Team  (Movie only),Ino–Saku–Sai  (Novel only),Medic Corps,
24,1036,Team Tobirama,Team Hiruzen,Escort Unit,,,,,,,,
25,636,A–B Combo,Kumo Council,,,,,,,,,
26,222,Furido's 4-Man Team,,,,,,,,,,
27,1066,Team Tobirama,Escort Unit,,,,,,,,,
28,1100,Team Shinki,,,,,,,,,,
29,13,Team 8,Konoha 11  (Anime only),Bikōchū Search Team  (Anime only),Kaima Capture Team  (Anime only),Eight Man Squad,Team One  (Anime only),Fifth Division,,,,
30,1216,Team Guy,Konoha 11  (Anime only),Star Guard Team  (Anime only),Team Two  (Anime only),First Division,,,,,,
31,945,N/A,,,,,,,,,,
32,1093,Konoha Council,Escort Unit,,,,,,,,,
33,1335,N/A,,,,,,,,,,
34,40,Team 10,Sasuke Recovery Team,Konoha 11  (Anime only),Peddlers Escort Team  (Anime only),Twenty Platoons,Fourth Division,,,,,
35,437,Team 8,Konoha 11  (Anime only),Bikōchū Search Team  (Anime only),Peddlers Escort Team  (Anime only),Team Three  (Anime only),Eight Man Squad,Second Division,Hanabi Rescue Team  (Movie only),,,
36,1365,Team 10,Konoha 11  (Anime only),Kaima Capture Team  (Anime only),Twenty Platoons,Team Three  (Anime only),Fifth Division,Ino–Saku–Sai  (Novel only),Konoha Barrier Team,Analysis Team,,
37,193,Explosion Corps,Surprise Attack and Diversion Platoon,,,,,,,,,
38,421,Cypher Division,Seven Ninja Swordsmen of the Mist,,,,,,,,,
39,148,Puppet Brigade,Honoured Siblings,Kazekage Rescue Team,,,,,,,,
40,6,Eight-Tails Subduing Team,A–B Combo,,,,,,,,,
41,466,Team 8,Sasuke Recovery Team,Konoha 11  (Anime only),Bikōchū Search Team  (Anime only),Team Two  (Anime only),Eight Man Squad,Fifth Division,Konoha Military Police Force  (Anime Only),,,
42,1208,Three Sand Siblings,Fourth Division,Wind Release Team,,,,,,,,
43,940,N/A,,,,,,,,,,
44,1400,Team 5,,,,,,,,,,
45,878,Team 10,Sasuke Recovery Team,Konoha 11  (Anime only),Twenty Platoons,Fourth Division,Hanabi Rescue Team  (Movie only),,,,,
46,104,N/A,,,,,,,,,,
47,1042,Puppet Brigade,Surprise Attack and Diversion Platoon,,,,,,,,,
48,29,Team 8,Konoha 11  (Anime only),Sasuke Recovery Team,Bikōchū Search Team  (Anime only),Team Two  (Anime only),Eight Man Squad,Fifth Division,,,,
49,521,Taka,,,,,,,,,,
50,480,N/A,,,,,,,,,,
51,934,N/A,,,,,,,,,,
52,944,N/A,,,,,,,,,,
53,1051,N/A,,,,,,,,,,
54,1203,Sound Four,,,,,,,,,,
55,1368,Team 10,Konoha Barrier Team  (Anime only),,,,,,,,,
56,577,Three Sand Siblings,Surprise Attack Division,Counter-Terrorism Division  (Novel only),,,,,,,,
57,1008,Team Kakashi,Eight Man Squad,Team One  (Anime only),Infiltration and Reconnaissance Party,Surprise Attack Division,Hanabi Rescue Team  (Movie only),Ino–Saku–Sai  (Novel only),Team 25  (Anime only),Konoha 11  (Anime only),,
58,162,N/A,,,,,,,,,,
59,870,Magaki Group,,,,,,,,,,
60,876,Team 10,,,,,,,,,,
61,1091,Two Great Sage Toads,,,,,,,,,,
62,1346,N/A,,,,,,,,,,
63,430,Taka,,,,,,,,,,
64,25,Magaki Group,,,,,,,,,,
65,120,Magaki Group,,,,,,,,,,
66,158,Magaki Group,,,,,,,,,,
67,701,N/A,,,,,,,,,,
68,791,N/A,,,,,,,,,,
69,725,Second Division,,,,,,,,,,
70,809,Team Orochimaru,Kaima Capture Team  (Anime only),Infiltration and Reconnaissance Party,,,,,,,,
71,414,Watari Ninja,,,,,,,,,,
72,920,Team Samui,Surprise Attack Division,,,,,,,,,
73,1,N/A,,,,,,,,,,
74,230,Two Great Sage Toads,,,,,,,,,,
75,240,N/A,,,,,,,,,,
76,549,N/A,,,,,,,,,,
77,609,Team 7,,,,,,,,,,
78,831,Seven Ninja Swordsmen of the Mist,,,,,,,,,,
79,1009,N/A,,,,,,,,,,
80,1127,N/A,,,,,,,,,,
81,1143,Team Suien,,,,,,,,,,
82,1367,Ino–Shika–Chō,Analysis Team,Intelligence Division,,,,,,,,
83,190,Kumo Council,First Division,,,,,,,,,
84,1122,Konoha Special Mission Platoon,Orochimaru Search Team  (Anime only),Logistical Support and Medical Division,,,,,,,,
85,42,Ino–Shika–Chō,First Division,Team Chōza  (Anime only),,,,,,,,
86,127,N/A,,,,,,,,,,
87,153,N/A,,,,,,,,,,
88,274,Five Great Countries' Joint Investigation Team,,,,,,,,,,
89,422,New Seven Ninja Swordsmen,,,,,,,,,,
90,546,Team Kajika,,,,,,,,,,
91,684,Ame Orphans,,,,,,,,,,
92,669,N/A,,,,,,,,,,
93,723,New Seven Ninja Swordsmen,,,,,,,,,,
94,724,Seven Ninja Swordsmen of the Mist,Kurosuki Family  (Anime only),,,,,,,,,
95,765,N/A,,,,,,,,,,
96,936,N/A,,,,,,,,,,
97,1034,Twelve Guardian Ninja,Team 10,Twenty Platoons,,,,,,,,
98,1104,N/A,,,,,,,,,,
99,1165,N/A,,,,,,,,,,
100,152,Seven Ninja Swordsmen of the Mist,Daimyō Protection Squad,,,,,,,,,
101,266,N/A,,,,,,,,,,
102,593,Team Shigeri,Taka,,,,,,,,,
103,531,N/A,,,,,,,,,,
104,591,N/A,,,,,,,,,,
105,622,Twelve Guardian Ninja,Furido's 4-Man Team,,,,,,,,,
106,720,Team 25,,,,,,,,,,
107,794,Fifth Division,,,,,,,,,,
108,818,N/A,,,,,,,,,,
109,860,Watari Ninja,,,,,,,,,,
110,851,N/A,,,,,,,,,,
111,1038,N/A,,,,,,,,,,
112,1109,Magaki Group,,,,,,,,,,
113,1134,N/A,,,,,,,,,,
114,1120,Gang of Four,,,,,,,,,,
115,1123,Mujina Bandits,,,,,,,,,,
116,1310,Team Shisui  (Anime only),,,,,,,,,,
117,1426,White Zetsu Army,,,,,,,,,,
118,1279,N/A,,,,,,,,,,
119,5,Eight-Tails Subduing Team,,,,,,,,,,
120,15,Impure World Reincarnation Allied Forces  (Anime only),,,,,,,,,,
121,72,N/A,,,,,,,,,,
122,124,N/A,,,,,,,,,,
123,161,Four Ninja Animal Warriors,,,,,,,,,,
124,192,N/A,,,,,,,,,,
125,224,Furido's 4-Man Team,,,,,,,,,,
126,261,N/A,,,,,,,,,,
127,271,N/A,,,,,,,,,,
128,327,Gang of Four,,,,,,,,,,
129,363,N/A,,,,,,,,,,
130,356,N/A,,,,,,,,,,
131,574,N/A,,,,,,,,,,
132,568,Team 5,,,,,,,,,,
133,628,Team Guren,,,,,,,,,,
134,635,N/A,,,,,,,,,,
135,719,Team 15,,,,,,,,,,
136,718,N/A,,,,,,,,,,
137,844,N/A,,,,,,,,,,
138,845,Team Oboro,,,,,,,,,,
139,847,Fruit Group,,,,,,,,,,
140,854,Team Suien,,,,,,,,,,
141,939,N/A,,,,,,,,,,
142,975,Seven Ninja Swordsmen of the Mist,,,,,,,,,,
143,1055,Kumo Spectators,,,,,,,,,,
144,1082,N/A,,,,,,,,,,
145,1135,Team Kakashi,,,,,,,,,,
146,1144,N/A,,,,,,,,,,
147,1337,Team Ro  (Anime only),Logistical Support and Medical Division  (Anime only),,,,,,,,,
148,80,Sensor Division,,,,,,,,,,
149,62,Team Ameno,,,,,,,,,,
