id,name,debut_manga,debut_anime,debut_novel,debut_movie,debut_game,debut_ova,sex,blood_type,clan
1344,Naruto Uzumaki,Naruto Chapter #1,Naruto Episode #1,"Naruto: Innocent Heart, Demonic Blood",Naruto the Movie: Ninja Clash in the Land of Snow,Naruto: Konoha Ninpōchō,Find the Four-Leaf Red Clover!,Male,B,Uzumaki
1307,Sasuke Uchiha,Naruto Chapter #3,Naruto Episode #1,"Naruto: Innocent Heart, Demonic Blood",Naruto the Movie: Ninja Clash in the Land of Snow,Naruto: Konoha Ninpōchō,Find the Four-Leaf Red Clover!,Male,AB,Uchiha
1299,Madara Uchiha,Naruto Chapter #370,Naruto Shippūden Episode #130,Kakashi Hiden: Lightning in the Icy Sky  (Mentioned),The Last: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Storm 2,Naruto Shippūden: UNSG anime cutscenes,Male,O,Uchiha
376,Kakashi Hatake,Naruto Chapter #3,Naruto Episode #3,"Naruto: Innocent Heart, Demonic Blood",Naruto the Movie: Ninja Clash in the Land of Snow,Naruto: Konoha Ninpōchō,Find the Four-Leaf Red Clover!,Male,O,Hatake
928,Orochimaru,Naruto Chapter #45,Naruto Episode #27,Sasuke Shinden: Book of Sunrise,Naruto Shippūden the Movie: Bonds,Naruto: Ninja Council,Hidden Leaf Village Grand Sports Festival!,File:Gender Various.svg Various,B,N/A
1303,Obito Uchiha,Naruto Chapter #239,Naruto Shippūden Episode #32,Naruto Jinraiden: The Day the Wolf Howled,Road to Ninja: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Heroes 3,Naruto: The Cross Roads,Male,O,Uchiha
259,Gaara,Naruto Chapter #35,Naruto Episode #20,Kakashi Hiden: Lightning in the Icy Sky,Naruto the Movie: Legend of the Stone of Gelel,Naruto: Ninja Council,Hidden Leaf Village Grand Sports Festival!,Male,AB,Kazekage   (Novel only)
1359,Kabuto Yakushi,Naruto Chapter #39,Naruto Episode #23,Sasuke Shinden: Book of Sunrise  (Mentioned),Naruto Shippūden the Movie: Bonds,Naruto: Ultimate Ninja,Hidden Leaf Village Grand Sports Festival!,Male,AB,N/A
515,Jiraiya,Naruto Chapter #90,Naruto Episode #52,N/A,Naruto the Movie: Ninja Clash in the Land of Snow,Naruto: Ultimate Ninja 2,Finally a clash! Jōnin vs. Genin!! Indiscriminate Grand Melee Tournament Meeting!!,Male,B,N/A
1373,Yamato,Naruto Chapter #284,Naruto Shippūden Episode #34,Konoha Hiden: The Perfect Day for a Wedding,Naruto Shippūden the Movie: Bonds,Naruto Shippūden: Gekitō Ninja Taisen! EX 2,Naruto Shippūden: UNSG anime cutscenes,Male,A,N/A
