id,character_id,jutsu_1,jutsu_2,jutsu_3,jutsu_4,jutsu_5,jutsu_6,jutsu_7,jutsu_8,jutsu_9,jutsu_10,jutsu_11,jutsu_12,jutsu_13,jutsu_14,jutsu_15,jutsu_16,jutsu_17,jutsu_18,jutsu_19,jutsu_20,jutsu_21,jutsu_22,jutsu_23,jutsu_24,jutsu_25,jutsu_26,jutsu_27,jutsu_28,jutsu_29,jutsu_30,jutsu_31,jutsu_32,jutsu_33,jutsu_34,jutsu_35,jutsu_36,jutsu_37,jutsu_38,jutsu_39,jutsu_40,jutsu_41,jutsu_42,jutsu_43,jutsu_44,jutsu_45,jutsu_46,jutsu_47,jutsu_48,jutsu_49,jutsu_50,jutsu_51,jutsu_52,jutsu_53,jutsu_54,jutsu_55,jutsu_56,jutsu_57,jutsu_58,jutsu_59,jutsu_60,jutsu_61,jutsu_62,jutsu_63,jutsu_64,jutsu_65,jutsu_66,jutsu_67,jutsu_68,jutsu_69,jutsu_70,jutsu_71,jutsu_72,jutsu_73,jutsu_74,jutsu_75,jutsu_76,jutsu_77,jutsu_78,jutsu_79,jutsu_80,jutsu_81,jutsu_82,jutsu_83,jutsu_84,jutsu_85,jutsu_86,jutsu_87,jutsu_88,jutsu_89,jutsu_90,jutsu_91,jutsu_92,jutsu_93,jutsu_94
1,1344,All Directions Shuriken,Baryon Mode,Big Ball Rasengan,Big Ball Rasenshuriken,Big Ball Spiralling Serial Zone Spheres,Boil Release: Unrivalled Strength,Chakra Transfer Technique,Clone Body Blow,Clone Flying Arrow,Clone Spinning Heel Drop (Anime only),Combination Transformation,Continuous Tailed Beast Balls,Crescent Moon Rasengan,Earth Release: Earth-Style Wall,Erupting Propulsion Fist,Fire Release: Toad Oil Flame Bullet (Anime only),Frog Kata,Frog Strike,Gelel Rasengan,Gentle Step Spiralling Twin Lion Fists,Guts Rasengan,Harem Technique,Hurricane Thunderclap — Majestic Attire Sword Stroke,Ink Creation,Kurama Arm Attack,Mini-Rasenshuriken,Multiple Shadow Clone Technique,Naruto Region Combo,Naruto Uzumaki Combo,Naruto Uzumaki Two Thousand Combo,Naruto and Shion's Super Chakra Rasengan,Negative Emotions Sensing,New Sexy Technique,Nine-Tails Chakra Mode,Ninja Art: Bare-Handed Blade Block,One Thousand Years of Death,Pachinko Technique (Anime only),Parachute,Parent and Child Rasengan,Planetary Rasengan,Rasengan,Rasengan: Flash,Regeneration Ability,Runt Ball Rasengan (Anime only),Sage Art: Lava Release Rasenshuriken,Sage Art: Magnet Release Rasengan,Sage Art: Many Ultra-Big Ball Spiralling Serial Spheres,Sage Art: Super Tailed Beast Rasenshuriken,Sage Mode,Scorch Release: Halo Hurricane Jet Black Arrow Style Zero,Seven-Coloured Rasengan,Sexy Reverse Harem Technique,Sexy Technique,Sexy Technique: Pole Dance and Nice Body (Anime only),Shadow Clone Technique,Shadow Shuriken Technique,Shuriken Shadow Clone Technique (Anime only),Six Paths Sage Mode,Six Paths Senjutsu,Six Paths Yang Power,Six Paths — Chibaku Tensei,Six Paths: Ultra-Big Ball Rasenshuriken,Soap Bubble Ninjutsu (Anime only),Spiralling Absorption Sphere,Spiralling Serial Spheres,Spiralling Strife Spheres,Strong Fist (Anime only),Summoning Technique (Toad),Summoning: Food Cart Destroyer Technique,Super Mini-Tailed Beast Ball,Super-Ultra-Big Ball Rasengan,Supreme Ultimate Rasengan,Tailed Beast Ball,Tailed Beast Ball Rasenshuriken,Tailed Beast Chakra Arms,Tailed Beast Full Charge,Tailed Beast Rasengan,Tailed Beast Shockwave,Torii Seal,Tornado Rasengan,Truth-Seeking Ball,Turning into a Frog Technique (Anime only),Typhoon Water Vortex Technique,Ultra-Big Ball Rasengan,Ultra-Many Spiralling Serial Spheres,Uzumaki Formation (Anime only),Wind Release: Rasengan,Wind Release: Rasenshuriken,Wind Release: Repeated Rasenshuriken,Wind Release: Toad Gun (Anime only),Wind Release: Toad Oil Bullet (Anime only),Wind Release: Toad Oil Flame Bullet (Anime only),Wind Release: Ultra-Big Ball Rasenshuriken,Wisdom Wolf Decay
2,1307,Afterglow,Amaterasu,Amaterasu: Flame Wrapping Fire,Amenotejikara,Animal Path,Area Scanning Technique,Asura Path,Banshō Ten'in (Anime only),Binding Snake Glare Spell,Blaze Release: Honoikazuchi (Anime only),Blaze Release: Kagutsuchi,Blaze Release: Susanoo Kagutsuchi,Blaze Release: Yasaka Magatama,Chibaku Tensei,Chidori,Chidori Current,Chidori Light Sword,Chidori Senbon,Chidori Sharp Spear,Coercion Sharingan,Combination Transformation (Anime only),Cursed Seal of Heaven,Demonic Illusion: Mirage Crow,Demonic Illusion: Shackling Stakes Technique,Deva Path,Earth Release: Stone Luster,Evil Releasing Method,Fire Release: Dragon Fire Technique,Fire Release: Great Dragon Fire Technique,Fire Release: Great Fireball Technique,Fire Release: Phoenix Sage Fire Technique,Genjutsu: Sharingan,Hidden Shadow Snake Hands,Human Path,Hurricane Thunderclap — Majestic Attire Sword Stroke,Indra's Arrow,Kirin,Lightning Flash,Lion Combo,Lorentz Gun (Novel only),Majestic Attire: Susanoo,Manipulated Shuriken Technique,Manipulating Windmill Triple Blades,Moonlight,Naka Shrine Pass Technique,Naraka Path,Orochimaru-Style Body Replacement Technique,Outer Path,Pachinko Technique (Anime only),Peregrine Falcon Drop,Preta Path,Reverse Summoning Technique,Sasuke Uchiha's Space–Time Dōjutsu,Scorch Release: Halo Hurricane Jet Black Arrow Style Zero,Shadow Clone Technique,Shadow Shuriken Technique,Shadow of the Dancing Leaf,Six Paths Technique,Six Paths Yin Power,Six Paths — Chibaku Tensei,Strong Fist,"Summoning Technique (Hawk, Snake)",Summoning: Lightning Flash Blade Creation,Supercooled Water Technique,Surging Fire Wild Dance,Susanoo,Susanoo: Captive Slash,Susanoo: Chidori,Susanoo: Crush,Susanoo: Fist,Susanoo: Great Fireball Technique (Anime only),Sword of Kagutsuchi,Sword of Kusanagi: Chidori Katana,"Uchiha Style Shurikenjutsu: ""Lightning"": Triple",Water Release: Water Formation Wall (Novel only),,,,,,,,,,,,,,,,,,,
3,1299,Animal Path,Asura Path,Black Receiver,Blocking Technique Absorption Seal,Chibaku Tensei,Demonic Statue Chains,Deva Path,Evil Disturbance Waltz,Fire Release: Dragon Flame Release Song Technique,Fire Release: Great Fire Annihilation,Fire Release: Great Fire Destruction,Fire Release: Great Fireball Technique,Fire Release: Great Flame Flower (Anime only),Fire Release: Hiding in Ash and Dust Technique,Forbidden Individual Curse Tag,Genjutsu: Sharingan,God: Nativity of a World of Trees,Gunbai Fanned Wind (Anime only),Hiding in Surface Technique,Human Path,Infinite Tsukuyomi,Izanagi,Kamui,Limbo: Border Jail,Majestic Attire: Susanoo,Multiple Wood Release Clone Technique,Naraka Path,Outer Path,Preta Path,Regeneration Ability,Sage Art: Storm Release Light Fang,Sage Art: Yin Release Lightning Dispatch,Sensing Technique,Shadow Clone Technique,Six Paths Senjutsu,Six Paths Technique,Six Paths Ten-Tails Coffin Seal,"Summoning Technique (Demonic Statue of the Outer Path, Kurama)",Summoning: Demonic Statue of the Outer Path,Susanoo,Susanoo: Fist,Tengai Shinsei,Transcription Seal: Izanagi,Truth-Seeking Ball,Uchiha Return,Will Materialisation,Wood Clone Technique,Wood Release Secret Technique: Nativity of a World of Trees,Wood Release: Advent of a World of Flowering Trees,Wood Release: Wood Dragon Technique,Yasaka Magatama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,376,Area Scanning Technique,Chidori,Demonic Illusion: Hell Viewing Technique,Earth Release: Double Suicide Decapitation Technique,Earth Release: Earth Wave Technique (Anime only),Earth Release: Earth-Style Wall,Earth Release: Hiding Like a Mole Technique,Earth Release: Multiple Earth-Style Wall (Anime only),Earth Release: Rending Drill Fang,Eight Gates,Evil Sealing Method,Eye Mind Reading (Anime only),Fire Release: Great Fireball Technique (Anime only),Fire Release: Water Mist (Novel only),Flying Revolving Sword (Anime only),Front Lotus (Anime only),Genjutsu: Sharingan,Ground Splitting Technique,Hiding in Mist Technique (Anime only),Ice Release: One Horned White Whale,Kamui,Kamui Lightning Cutter,Kamui Shuriken,Lightning Cutter,Lightning Release: Lightning Beast Tracking Fang,Lightning Release: Purple Electricity,Lightning Release: Shadow Clone Technique,Lightning Transmission,Multiple Shadow Clone Technique,One Thousand Years of Death,Peregrine Falcon Drop (Anime only),Rasengan,Shadow Clone Technique,Shadow of the Dancing Leaf (Anime only),Silent Killing,Strong Fist (Anime only),Summoning Technique (Ninken),Summoning: Earth Release: Tracking Fang Technique,Susanoo,Water Clone Technique,Water Release: Great Waterfall Technique,Water Release: Water Beast,Water Release: Water Bullet Technique,Water Release: Water Dragon Bullet Technique,Water Release: Water Formation Wall,Water Release: Water Shark Bullet Technique,White Light Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,928,Binding Snake Glare Spell,Casualty Puppet (Anime only),Chakra Scalpel (Anime only),Earth Release: Hiding Like a Mole Technique,Earth Release: Shadow Clone (Anime only),Eight Branches Technique,Eight Trigrams Sealing Style (Anime only),Five Elements Seal,Five Elements Unseal (Anime only),Formation of Ten Thousand Snakes,Four Black Snakes Formation (Anime only),Four Symbols Seal (Anime only),Fūinjutsu Trap (Anime only),Gathering of the Snakes,Genjutsu Binding (Anime only),Hidden Doorway Technique (Anime only),Hidden Shadow Snake Hands,Hideout Destruction Trap (Anime only),Hiding in Surface Technique,Living Corpse Reincarnation,Many Hidden Shadow Snake Hands,Orochimaru's Juinjutsu,Orochimaru-Style Body Replacement Technique,Regeneration Ability,Reversible Technique (Anime only),Self-Healing Technique (Anime only),Shadow Clone Technique,Shuriken Shadow Clone Technique (Anime only),Slithering Snake Mode,Snake Clone Technique (Anime only),Snake Mouth Bind (Anime only),Soft Physique Modification,Sound Wave Technique (Anime only),Space–Time Technique Formula: Underworld Turnover (Anime only),Substitute Technique,"Summoning Technique (Shinigami, Snake)",Summoning: Impure World Reincarnation,Summoning: Rashōmon,Summoning: Triple Rashōmon,Sword of Kusanagi: Longsword of the Sky,Temporary Paralysis Technique,Twin Snakes Mutual Death Technique,Vanishing Facial Copy Technique,White Snake Possession (Anime only),Wind Release: Breakthrough,Wind Release: Gale Palm (Anime only),Wind Release: Great Breakthrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1303,Animal Path,Asura Path,Black Receiver,Chakra Transfer Technique,Demonic Statue Chains,Deva Path,Earth Release: Hiding Like a Mole Technique,Explosive Landmines,Fire Release: Blast Wave Wild Dance,Fire Release: Great Fireball Technique,Fire Release: Phoenix Sage Fire Technique (Anime only),Genjutsu: Sharingan,Hands of Flame,Human Path,Infinite Tsukuyomi,Izanagi,Kamui,Naraka Path,Outer Path,Outer Path — Samsara of Heavenly Life Technique,Preta Path,Regeneration Ability,Sealing Technique: Phantom Dragons Nine Consuming Seals,Sensing Technique,Six Paths Senjutsu,Six Paths Technique,Six Paths Ten-Tails Coffin Seal,Six Paths of Pain,Six Red Yang Formation,Summoning Rinnegan,"Summoning Technique (Demonic Statue of the Outer Path, Kurama)",Summoning: Demonic Statue of the Outer Path,Tail Releasing Method,Tailed Beast Ball,Tailed Beast Chakra Arms,Tailed Beast Transfer Technique,Telescope Technique,Truth-Seeking Ball,Uchiha Flame Formation,Uchiha Return,Whac-A-Mole Technique (Anime only),Wood Release: Cutting Technique,Wood Release: Great Spear Tree,Wood Release: Underground Roots Technique,Wood Release: Wood Dragon Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,259,Air Sand Protective Wall,Armour of Sand,Concealed Sand Picture Cat,Desert Layered Imperial Funeral Seal,Desert Suspension,Desert Wave,Desert: Hand,Exploding Sand Boulder,Feigning Sleep Technique,Monstrous Sand Arm,Prison Sand Burial,Quicksand Waterfall Flow,Sand Binding Coffin,Sand Binding Prison,Sand Body,Sand Bullet (Anime only),Sand Castle Wolf Horn (Novel only),Sand Characters,Sand Clone,Sand Drizzle,Sand Hail,Sand Lightning Needles,Sand Mesh (Anime only),Sand Pillar,Sand Restraining Technique,Sand Shuriken,Sand Spear (Anime only),Sand Stream,Sand Sword (Novel only),Sand Waterfall Funeral,Sand Waterfall Imperial Funeral,Shield of Sand,Successive Shots Sand Drizzle,Third Eye,Ultimately Hard Absolute Attack: Spear of Shukaku (Anime only),Ultimately Hard Absolute Defence: Shield of Shukaku,Wind Release: Breakthrough,Wind Release: Great Breakthrough,Wind Release: Infinite Sand Cloud — Great Breakthrough,Wind Release: Multi-Layered Gale (Novel only),Wind Release: Sand Buckshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1359,Attack of the Twin Demons,Body Fluid Shedding Technique,Body Recreation Technique (Anime only),Chakra Absorbing Snakes (Anime only),Chakra Draining Seal,Chakra Scalpel,Clone Snakes (Anime only),Clone Snakes: Serpent Technique (Anime only),Dance of the Seedling Fern,Dead Soul Technique,Demonic Flute: Phantom Sound Chains,Earth Release: Earth Shore Return,Earth Release: Hiding Like a Mole Technique,Hidden Shadow Snake Hands,Hiding with Camouflage Technique (Anime only),Many Hidden Shadow Snake Hands,Mystical Palm Technique,Orochimaru-Style Body Replacement Technique,Reverse Summoning Technique,Sage Art: Inorganic Reincarnation,Sage Art: White Rage Technique,Sage Mode,Sage Transformation,Scroll Communication Technique (Anime only),Slithering Snake Mode,Snake Clone Technique (Anime only),Soft Physique Modification,Spider Web Unrolling,Strange Transmission Distant Shadow,Summoning Technique (Snake),Summoning: Impure World Reincarnation,Temple of Nirvana Technique,Vanishing Facial Copy Technique (Anime only),Water Release: Great Waterfall Technique,Water Release: Water Bullet Technique,Water Release: Water Dragon Bullet Technique,Yin Healing Wound Destruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,515,Barrier: Canopy Method Formation,Barrier: Toad Gourd Prison,Big Ball Rasengan,Earth Release: Earth-Style Wall (Anime only),Earth Release: Swamp of the Underworld,Finger Carving Seal,Fire Release: Big Flame Bullet,Fire Release: Dragon Fire Technique,Fire Release: Fire Dragon Flame Bullet (Anime only),Fire Release: Flame Bullet,Fire Release: Toad Oil Flame Bullet,Fire Sealing Method,Five Elements Unseal,Frog Kata,Hair Needle Senbon,Hiding in a Toad Technique,Needle Hell (Anime only),Needle Jizō,Rasengan,Reverse Summoning Technique (Anime only),Sage Art: Goemon,Sage Mode,Shadow Clone Technique,Spiralling Serial Spheres,Summoning Technique (Toad),Summoning: Crushing Toad Stomach (Anime only),Summoning: Food Cart Destroyer Technique,Summoning: Toad Mouth Bind,Summoning: Toad Shop Technique,Toad Flatness — Shadow Manipulation Technique,Toad Oil Bullet,Transparent Escape Technique,Turning into a Frog Technique,Ultra-Big Ball Rasengan,Water Release: Water Gun (Anime only),Wild Lion's Mane Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1373,Area Scanning Technique,Ball of Light Technique (Anime only),Earth Release: Earth Flow Divide,Earth Release: Earth Flow Spears (Anime only),Earth Release: Earth-Style Rampart,Earth Release: Earth-Style Wall,Earth Release: Hiding in Rock Technique (Anime only),Earth Release: Tunnelling Technique,Hiding in Surface Technique,Hokage-Style Sixty-Year-Old Technique — Kakuan Entering Society with Bliss-Bringing Hands,Regeneration Ability,Tailed Beast Sealing,Transmission Wood,Typhoon Water Vortex Technique,Water Release: Tearing Torrent,Water Release: Water Bowl (Anime only),Water Release: Water Formation Wall (Anime only),Water Release: Waterfall Basin Technique,Wood Clone Technique,Wood Release: Foo Dog Heads,Wood Release: Four-Pillar House Technique,Wood Release: Four-Pillar Prison Technique,Wood Release: Great Forest Technique,Wood Release: Hand Tool Manipulation,Wood Release: Nativity of a Sea of Trees,Wood Release: Serial Pillar Houses Technique,Wood Release: Smothering Binding Technique,Wood Release: Stocks,Wood Release: Transformation,Wood Release: Tree Bind Flourishing Burial (Anime only),Wood Release: Wood Locking Wall,Wood Release: Wood Spikes Ring,Wood Release: World of Trees Wall (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
